Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,Avenue of the Saints / 262971,0.832,yes,180,no,192338397125760425,-6888734283418029177
N/A,Avenue of the Saints / 263322,2.977,yes,170,no,192558848939218438,6944546961971228339
N/A,Avenue of the Saints / 263864,0.656,yes,352,no,191933227877881072,2341428335710584555
N/A,Avenue of the Saints / 266056,1.310,yes,140,no,194489039578552691,6927341811374493937
N/A,Avenue of the Saints / 266104,0.881,yes,358,no,192581388849468951,2331954945985621501
N/A,Avenue of the Saints / 266378,1.723,yes,345,no,192524764172604924,6945184678562246751
N/A,Avenue of the Saints / 266549,0.518,yes,20,no,194575899613026720,-2307830183982269263
N/A,Avenue of the Saints / 269234,0.506,yes,9,no,192575891257775636,6943179169518857675
N/A,Avenue of the Saints / 270023,0.268,yes,248,no,192834276325152392,6941850960472845121
N/A,Avenue of the Saints / 270526,0.429,yes,9,no,192579189806814742,2331620694450777597
N/A,Avenue of the Saints / 271132,0.716,yes,270,no,192036581863413017,2340443173738790263
N/A,Avenue of the Saints / 271323,0.496,yes,2,no,191935976587220210,6952384278421323299
N/A,Avenue of the Saints / 272359,0.658,yes,357,no,194500584167004544,-6910143965583897389
N/A,Avenue of the Saints / 273004,0.604,yes,189,no,192575341501437459,-6891892079902839345
N/A,Avenue of the Saints / 274142,0.882,yes,178,no,192580839093655062,-6891417090869154307
N/A,Avenue of the Saints / 274188,1.785,yes,166,no,192523664660452860,2333498660132761689
N/A,Avenue of the Saints / 274467,3.580,yes,91,no,191357633595790279,-2269879452625256465
N/A,Avenue of the Saints / 274555,0.445,yes,183,no,191935426832979185,-2270970166249505241
N/A,Avenue of the Saints / 275145,0.533,yes,257,no,192817783647065726,6941820174105324341
N/A,Avenue of the Saints / 278387,0.643,yes,172,no,191932678122067183,-6881948099194896661
N/A,Avenue of the Saints / 279385,0.747,yes,112,no,192626468633269797,6941943318692506431
N/A,Avenue of the Saints / 279744,0.736,yes,212,no,192544005399074309,6942972461253143925
N/A,Avenue of the Saints / 2927951,0.550,yes,181,no,194237801873103112,-2290347950396662841
N/A,Avenue of the Saints / 3960738,0.214,yes,1,no,194237801859471625,2321267699286547327
N/A,Avenue of the Saints / 3960739,0.611,yes,1,no,194238351627868425,2321320475846777799
N/A,Avenue of the Saints / 4151958,1.715,yes,177,no,194171281668659434,6935399031326646009
N/A,Avenue of the Saints / 4151959,0.675,yes,175,no,194173480655739115,-6900094430539145555
N/A,Avenue of the Saints / 4191130,0.821,yes,314,no,192464840914720219,6946055491523981939
N/A,Avenue of the Saints / 4215068,2.392,yes,357,no,194172381170325738,-6899654625888035153
N/A,Avenue of the Saints / 4301265,0.169,yes,246,no,192843072421320333,6941877348777077577
N/A,Avenue of the Saints / 4504041,0.781,yes,262,no,190872199186961158,-2270090560942358641
N/A,Avenue of the Saints / 4779808,2.446,yes,314,no,194352150485752110,-6906731081917001121
N/A,Avenue of the Saints / 4805971,0.735,yes,192,no,190546194186982007,-2268520459640225121
N/A,Avenue of the Saints / 4994048,0.952,yes,178,no,194238351465863433,2320163789618551043
N/A,Avenue of the Saints / 4994049,0.673,yes,176,no,194240550464477449,-2291764121358559051
N/A,Avenue of the Saints / 5018998,0.764,yes,270,no,190740257793725131,2341617447214268299
N/A,Avenue of the Saints / 5321577,0.705,yes,93,no,191264175106905017,-2269870657125728285
N/A,Avenue of the Saints / 5321616,0.887,yes,25,no,190534649293394547,-6880408788225998253
N/A,Avenue of the Saints / 5321618,0.697,yes,12,no,190547293699134072,-6880193283923885407
N/A,Avenue of the Saints / 5649939,0.763,yes,27,no,194538516165253518,-6919986793507980301
N/A,Avenue of the Saints / 5811662,0.708,yes,357,no,194237801734691080,-2291350704999098003
N/A,Avenue of the Saints / 5837136,0.699,yes,82,no,190872199186436871,-2270094958995161205
N/A,Avenue of the Saints / 6051606,4.385,yes,180,no,190547843711324793,-2266836007826471097
N/A,Avenue of the Saints / 6051607,0.691,yes,181,no,190544545099371129,-2267011929695304373
N/A,Avenue of the Saints / 6730512,0.483,yes,185,no,194240550597646601,-2290796551128212749
N/A,Avenue of the Saints / 6730554,0.255,yes,244,no,194240000945117447,-2289886155487830935
N/A,Avenue of the Saints / 6788109,3.484,yes,0,no,190543445986202230,-6874827667188725173
N/A,Avenue of the Saints / 7084336,2.855,yes,91,no,191957417025688817,-2270970165930738315
N/A,Avenue of the Saints / 710017,2.866,yes,118,no,193507726936070052,2328146241412671201
N/A,Avenue of the Saints / 710028,0.660,yes,137,no,193561602968082385,2327728427067516585
N/A,Avenue of the Saints / 710105,6.316,yes,322,no,194103112071469217,-2286574426745987067
N/A,Avenue of the Saints / 710273,0.848,yes,357,no,194248797097908493,6934110403984104723
N/A,Avenue of the Saints / 710280,0.272,yes,183,no,194247147824175373,6933916889937616189
N/A,Avenue of the Saints / 710285,0.283,yes,184,no,194246598059972877,2322156104717442333
N/A,Avenue of the Saints / 710286,0.229,yes,4,no,194247147814213901,6933837725100416275
N/A,Avenue of the Saints / 710358,0.429,yes,156,no,194243849320225034,2322578317180411275
N/A,Avenue of the Saints / 710359,0.388,yes,338,no,194246048341907723,2322556326949952903
N/A,Avenue of the Saints / 710435,0.607,yes,308,no,194187224534833390,2323114878668119679
N/A,Avenue of the Saints / 710437,0.553,yes,127,no,194186125023205614,2323110480613219971
N/A,Avenue of the Saints / 710462,6.331,yes,142,no,194102562315655329,2325111591677206533
N/A,Avenue of the Saints / 721345,0.817,yes,175,no,194489587272341882,2298331887687430731
N/A,Avenue of the Saints / 721346,0.811,yes,356,no,194490686783445370,-6925048945256172983
N/A,Avenue of the Saints / 721352,1.641,yes,187,no,194477492566841716,6909054733903720879
N/A,Avenue of the Saints / 721354,1.051,yes,7,no,194476942802114932,-6926003321386831509
N/A,Avenue of the Saints / 721516,2.343,yes,181,no,194576999153490326,-2307324408656561027
N/A,Avenue of the Saints / 721981,0.639,yes,176,no,194500034411190656,6924909691649658067
N/A,Avenue of the Saints / 722313,1.311,yes,0,no,194300473577134373,-2294292997875952355
N/A,Avenue of the Saints / 722315,1.335,yes,181,no,194299923822369061,-6905974618258926303
N/A,Avenue of the Saints / 722337,1.140,yes,180,no,194301023274228005,-2294763588852640717
N/A,Avenue of the Saints / 722339,1.362,yes,360,no,194301573027944742,2317221496747987867
N/A,Avenue of the Saints / 722371,0.989,yes,157,no,194308170068351269,-2294763588793920699
N/A,Avenue of the Saints / 722375,1.001,yes,337,no,194312018353805607,2316878449183036207
N/A,Avenue of the Saints / 722428,0.788,yes,134,no,194397230430509388,2316205548406575659
N/A,Avenue of the Saints / 722430,0.705,yes,314,no,194401078719633742,6927869576609796647
N/A,Avenue of the Saints / 722773,4.038,yes,180,no,194501133993597312,6924909691702087403
N/A,Avenue of the Saints / 722776,4.025,yes,1,no,194501683749411200,-6910143965529370901
N/A,Avenue of the Saints / 722800,0.521,yes,166,no,194246598047389965,2322156104736316613
N/A,Avenue of the Saints / 722801,0.511,yes,341,no,194247697558493453,6933837725121387715
N/A,Avenue of the Saints / 722815,0.431,yes,159,no,194257593151609103,-6901339077399798633
N/A,Avenue of the Saints / 722816,0.447,yes,344,no,194258142906898704,2322032959454977171
N/A,Avenue of the Saints / 722821,0.434,yes,40,no,194252095580887308,-2289842174972388205
N/A,Avenue of the Saints / 722822,0.297,yes,220,no,194254294606764302,-6901497407074198377
N/A,Avenue of the Saints / 722841,0.305,yes,63,no,194239451188254983,2321795464893045863
N/A,Avenue of the Saints / 722849,0.204,yes,221,no,194247147775416588,2321835047332617339
N/A,Avenue of the Saints / 722862,0.778,yes,152,no,194228456058345733,2321782270722055169
N/A,Avenue of the Saints / 722863,0.589,yes,332,no,194231754589559043,-2289956524259271683
N/A,Avenue of the Saints / 722919,0.558,yes,172,no,194237801848985864,-2290409523039429845
N/A,Avenue of the Saints / 722920,0.528,yes,351,no,194238901360089353,2321267699297033003
N/A,Avenue of the Saints / 722923,0.614,yes,359,no,194242199877671178,6932821776333282019
N/A,Avenue of the Saints / 722925,0.491,yes,174,no,194241100368140554,2321135757903796979
N/A,Avenue of the Saints / 722941,0.467,yes,1,no,194238351644121353,2321597552776977351
N/A,Avenue of the Saints / 722942,0.512,yes,181,no,194237801888831752,6933292367295290311
N/A,Avenue of the Saints / 723080,0.656,yes,176,no,194242749467810058,-2291935645166200727
N/A,Avenue of the Saints / 723123,1.819,yes,4,no,194236152505522440,-2291350704997000559
N/A,Avenue of the Saints / 729594,0.237,yes,76,no,192820532426135170,6941824572139252527
N/A,Avenue of the Saints / 729763,0.539,yes,66,no,192836475348932230,-2281534270494201017
N/A,Avenue of the Saints / 729774,0.282,yes,64,no,192852418272253584,-6893167512321512619
N/A,Avenue of the Saints / 729893,1.794,yes,289,no,192587985735210505,-2281345155339375789
N/A,Avenue of the Saints / 730352,0.692,yes,359,no,192338946881050025,-2277035070849010819
N/A,Avenue of the Saints / 730358,3.399,yes,270,no,192374680965436841,-2277035070433774931
N/A,Avenue of the Saints / 730457,0.599,yes,6,no,192539057573680641,-2280562303383360215
N/A,Avenue of the Saints / 730474,0.820,yes,21,no,192521465370859003,6942629413535100137
N/A,Avenue of the Saints / 730825,5.213,yes,359,no,190548393300415098,2344674088744665761
N/A,Avenue of the Saints / 730826,5.224,yes,179,no,190547293788787321,-2267011929686916449
N/A,Avenue of the Saints / 731134,0.621,yes,181,no,190531350643167859,-6881345572172709745
