Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,motorway_link / 10295237,0.047,yes,79,no,194469798256662898,6928313779533910827
N/A,motorway_link / 10295899,0.103,yes,175,no,194301573008021797,-2294789977129610345
N/A,motorway_link / 10345230,0.372,yes,63,no,189332881532342351,6941719005729139465
N/A,motorway_link / 10354076,0.231,yes,8,no,194248247332657421,-6901163155570811601
N/A,motorway_link / 10360914,0.050,yes,272,no,194322463718463791,2316794886309811061
N/A,motorway_link / 10361064,0.007,yes,62,no,194509380530035076,6927095520797135103
N/A,motorway_link / 10384469,0.385,yes,100,no,195246601438583504,6913360424386689171
N/A,motorway_link / 10387006,0.319,yes,338,no,194242199863515402,-2290708590177019197
N/A,motorway_link / 10401248,0.455,yes,285,no,193103656663996161,2330081380204030735
N/A,motorway_link / 10426620,0.295,yes,89,no,196411537362083043,6941468344053672581
N/A,motorway_link / 10426621,0.017,yes,217,no,196412087114226917,-6893598507321513339
N/A,motorway_link / 10426622,0.007,yes,200,no,196411537358413029,-6893602905370121597
N/A,motorway_link / 10456613,0.181,yes,81,no,189957952216060269,2315985629115060745
N/A,motorway_link / 10456691,0.326,yes,341,no,194469798144465265,-2295955458800742035
N/A,motorway_link / 10456741,0.394,yes,69,no,191537400739615801,-6906810257604865257
N/A,motorway_link / 10482577,0.245,yes,291,no,190000283417923967,-6907338029062417901
N/A,motorway_link / 10495116,0.404,yes,353,no,196468161314381055,2322332035054574877
N/A,motorway_link / 10495129,0.482,yes,359,no,196469260812377343,-2289455138438374171
N/A,motorway_link / 10495142,0.369,yes,291,no,191006338184729416,6941384760578026069
N/A,motorway_link / 10505462,0.368,yes,23,no,190545643892200057,6950374365872536193
N/A,motorway_link / 10666105,0.164,yes,75,no,190227882345320936,2316196736375198313
N/A,motorway_link / 10669787,0.652,yes,217,no,196655077914664270,-6904272565260249155
N/A,motorway_link / 10670825,0.009,yes,88,no,194235053242931463,-2289028536451719713
N/A,motorway_link / 10670826,0.052,yes,268,no,194232854221248774,6934356694536297957
N/A,motorway_link / 10670827,0.319,yes,333,no,194241650303785225,6934303918018010541
N/A,motorway_link / 10670828,0.017,yes,268,no,194235053244504327,-6900701360741671451
N/A,motorway_link / 10695782,0.421,yes,123,no,192511020319200755,-2278037824780357299
N/A,motorway_link / 10696199,0.306,yes,226,no,192832627054040712,2330156145912589105
N/A,motorway_link / 10721770,0.045,yes,167,no,184263032744003409,2324416662539870459
N/A,motorway_link / 10721771,0.260,yes,119,no,184268530299520849,6936093884907790569
N/A,motorway_link / 10725339,0.320,yes,169,no,184729777249273892,-6883658966766699513
N/A,motorway_link / 10725506,0.405,yes,111,no,183681391859942981,2330864196537822309
N/A,motorway_link / 10748880,0.248,yes,176,no,190132775321948604,6934040019528064327
N/A,motorway_link / 10760334,0.033,yes,92,no,185043684126443699,-2302987971140254445
N/A,motorway_link / 10764232,0.359,yes,284,no,185932090076908100,-2298317242329199275
N/A,motorway_link / 10768564,0.367,yes,109,no,189900229532275024,-2281622242637894917
N/A,motorway_link / 10791819,0.300,yes,268,no,183697334779070029,2330855400497228909
N/A,motorway_link / 10811627,0.148,yes,304,no,195495640776661828,-6922071463919880221
N/A,motorway_link / 10861451,0.237,yes,326,no,190055259744850332,2322301224274107703
N/A,motorway_link / 10861729,0.061,yes,28,no,194176779190622445,2323185247334702805
N/A,motorway_link / 10867164,0.184,yes,341,no,194319165167851821,6928370953563935535
N/A,motorway_link / 10867270,0.315,yes,104,no,191564339446109254,6933903685587049743
N/A,motorway_link / 10903344,0.403,yes,255,no,191497817707598887,6923119675294353909
N/A,motorway_link / 10973735,0.349,yes,274,no,194330710055672112,2316794886366434163
N/A,motorway_link / 10998991,0.011,yes,87,no,189994785852969343,-6907403999799930371
N/A,motorway_link / 11007922,0.660,yes,168,no,192097051274204472,6920920654303724995
N/A,motorway_link / 11011433,0.089,yes,178,no,192859015346738838,2330270495237221211
N/A,motorway_link / 11011466,0.226,yes,321,no,192756211083990630,-6892463825257223055
N/A,motorway_link / 11011534,0.304,yes,331,no,190069004710269344,-6892081205461635819
N/A,motorway_link / 11182512,0.186,yes,274,no,189966748310655345,2316007619381170701
N/A,motorway_link / 11185805,0.375,yes,289,no,189914523185533271,-2281591456255694071
N/A,motorway_link / 11186661,0.045,yes,6,no,196241662900001944,6942194021079985111
N/A,motorway_link / 11186757,0.385,yes,290,no,194297176565307680,-6893017973218333823
N/A,motorway_link / 11211640,0.017,yes,336,no,194233953732876551,6934361092584906213
